,chainId,amount,createdAt,shoeSize,productId,skuUuid,state,customerId,localAmount,localCurrency
0,13351350030933202162,260.0,2020-06-08T17:25:08+00:00,10,,6c8b9d28-82d1-4abf-b0bd-a6eb3e5d8389,480,,260,USD
1,13351543338502963829,248.0,2020-06-08T14:53:22+00:00,13,,a6aeb958-d9e9-4e4d-b0f3-601cc8bbd0fb,480,,248,USD
2,13351214664998901506,262.0,2020-06-08T14:50:51+00:00,8.5,,823fe713-6266-49db-9ef9-6642a7bfef36,480,,262,USD
3,13351526518644449545,256.0,2020-06-08T14:19:58+00:00,11,,66973fc5-18eb-4a1c-a8ee-df4728490202,480,,256,USD
4,13348228231186683817,251.0,2020-06-08T14:08:10+00:00,10.5,,2efee074-2d6d-4817-b064-1aaf8eeeea28,480,,251,USD
5,13338475194528842549,269.0,2020-06-08T13:59:12+00:00,9.5,,bd5dbf6d-5717-4717-9bf2-a0555a8d58eb,480,,269,USD
6,13351481322281668644,265.0,2020-06-08T12:50:09+00:00,9.5,,bd5dbf6d-5717-4717-9bf2-a0555a8d58eb,480,,265,USD
7,13351470569131394233,252.0,2020-06-08T12:28:48+00:00,5,,51ee6371-167d-4419-a461-10124274623a,480,,252,USD
8,13351470207333825374,257.0,2020-06-08T12:28:06+00:00,10,,6c8b9d28-82d1-4abf-b0bd-a6eb3e5d8389,480,,257,USD
9,13351469063640933700,281.0,2020-06-08T12:25:46+00:00,5.5,,684adb07-f0b0-4986-8f08-d225ac8a525a,480,,281,USD
10,13341180477407559713,271.1573,2020-06-08T12:25:04+00:00,11.5,,7488c3ff-a39e-4dc6-a35d-414126439e14,480,,272,USD
11,13346568482458279469,268.0,2020-06-08T10:57:27+00:00,11,,66973fc5-18eb-4a1c-a8ee-df4728490202,480,,268,USD
12,13351370521135317559,262.0,2020-06-08T10:57:03+00:00,11,,66973fc5-18eb-4a1c-a8ee-df4728490202,480,,262,USD
13,13344807831000528341,282.0,2020-06-08T10:28:43+00:00,5.5,,684adb07-f0b0-4986-8f08-d225ac8a525a,480,,282,USD
14,13351377054239419964,256.0,2020-06-08T09:23:00+00:00,10,,6c8b9d28-82d1-4abf-b0bd-a6eb3e5d8389,480,,256,USD
15,13351358988919069136,262.0,2020-06-08T08:47:07+00:00,4,,3b213d0e-ba38-420b-880e-a0e6ea066b28,480,,262,USD
16,13347190451727118556,250.0,2020-06-08T08:33:43+00:00,7,,2418cf86-c689-441c-8589-1708382e23d1,480,,250,USD
