,Model Name,Condition,Price,Shoe Size,Brand,Type,Style,Product Line,Color,Department,Seller Name,Feedback Score,Percentage Positive Feedback
160,161.ADIDAS YEEZY POWERPHASE CALABASAS CORE WHITE,New with box,US $880.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
161,162.ADIDAS YEEZY BOOST 350 MOONROCK,New with box,US $388.00,,Nike,Athletic,Sneaker,Nike Blazer,White/Wolf Grey,Men,soles888,2867.0,99.1
162,163.ADIDAS YEEZY BOOST 750 LIGHT BROWN GUM (CHOCOLATE),New with box,US $420.00,,Nike,Athletic,Athletic Sneakers,,Black,Men,zadehkicks,17708.0,97.7
163,164.ADIDAS YEEZY BOOST 350 TURTLEDOVE,New with box,US $200.00,,Nike Sb,Athletic,,SB,White,Men,dacamp76,208.0,
164,165.ADIDAS ULTRA BOOST MID KITH X NONNATIVE,New with box,US $380.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
165,166.ADIDAS ULTRA BOOST MID RUN THRU TIME,New with box,US $650.00,,Nike,Athletic,Athletic Sneakers,,Black,Men,zadehkicks,17708.0,97.7
166,167.ADIDAS YEEZY BOOST 750 OG LIGHT BROWN,New with box,US $549.00,,Nike,,,,Varisty Maze/Red,,sole-unlimited,18832.0,100.0
167,168.ADIDAS ULTRA BOOST UNCAGED HYPEBEAST,Pre-owned,US $900.00,,nike sb,Athletic,,SB,black,Men,kicksncuts305,262.0,
168,169.ADIDAS ULTRA BOOST 4.0 GAME OF THRONES HOUSE STARK,,,,,,,,,,,,
169,170.ADIDAS ULTRA BOOST 4.0 CHINESE NEW YEAR (2018),Pre-owned,US $350.00,,Nike,Athletic,,LeBron James,Multicolor,Men,raidewale-0,35.0,100.0
170,171.ADIDAS ULTRA BOOST 1.0 TRIPLE BLACK,New without box,US $100.00,,Nike,Athletic,Fashion Sneakers,Nike Air Force 1 High,Red,Men,timbervibes,1009.0,99.9
171,172.ADIDAS NEMEZIZ TANGO 17 ULTRA BOOST TRIPLE BLACK,Pre-owned,US $630.20,,Nike,,Cactus Plant Flea Market,"Nike Air, Nike VaporMax",Green,,lxhabits,8071.0,
172,173.ACE 16 PURECONTROL ULTRA BOOST KITH FLAMINGOS,New with box,US $199.99,,Nike,Athletic,Basketball Shoes,Nike Paul George,Wolf Grey,Men,limitediton,338.0,100.0
173,174.ADIDAS YEEZY BOOST 350 V2 BLACK (NON-REFLECTIVE),New with box,US $380.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
174,175.ADIDAS YEEZY 500 HIGH TYRIAN,New with box,US $190.00,,Nike,,,,Black,,hypestew,324.0,100.0
175,176.ADIDAS YEEZY BOOST 700 MNVN PHOSPHOR,New with box,US $239.99,,Nike,,Basketball Shoes,,Orange,,thecoolshoeshine,51004.0,99.8
176,177.ADIDAS YEEZY BOOST 350 V2 MARSH,New with box,US $210.00,,Nike Air max 1,,Basketball Shoes,,,,baorkml12,40.0,100.0
177,178.ADIDAS YEEZY BOOST 350 V2 CINDER REFLECTIVE,New with box,US $749.95,,Nike,Athletic,,"Air Force One, Nike Air Force 1",Blue,Men,rjbishops,385.0,100.0
178,179.ADIDAS YEEZY BOOST 380 MIST REFLECTIVE,New with box,US $380.00,,NIKE,Athletic,see description,,White,Men,lucymucy123,365.0,98.6
179,180.ADIDAS YEEZY 500 BONE WHITE,New with box,US $849.00,,Nike,Athletic,,,Summit White,Men,thejewelrymaestro,24.0,83.3
180,181.ADIDAS YEEZY BOOST 350 V2 YECHEIL (REFLECTIVE),New with box,US $479.00,,Nike,Casual,Sneaker,"Nike Blazer, Nike x Sacai",Black,Men,eluxive,1845.0,100.0
181,182.ADIDAS ULTRABOOST 20 TRIPLE WHITE,New with box,US $299.00,,Nike,Athletic,,SB,Orange,Men,rparh001,73.0,100.0
182,183.ADIDAS YEEZY DESERT BOOT SALT,New with box,US $289.90,,Nike,,Athletic Sneakers,,Multi-Color,,hotnessfeet215,33080.0,99.9
183,184.ADIDAS ULTRA BOOST 3.0 BLACK MULTI-COLOR,New with box,US $485.00,,Nike Sb,Athletic,Skate Shoes,"Nike SB, SB",Blk/Silver,Men,footwearcntrl,54.0,96.2
184,185.ADIDAS YEEZY BOOST 350 V2 CITRIN (REFLECTIVE),New with box,US $388.00,,Nike,Athletic,Sneaker,Nike Blazer,White/Wolf Grey,Men,soles888,2867.0,99.1
185,186.ADIDAS YEEZY DESERT BOOT ROCK,Pre-owned,US $800.00,,Nike,Athletic,Sneaker,"Air Force One, Nike Air",White,Men,soledout.jerseycity,1860.0,98.7
186,187.ADIDAS ALPHAEDGE 4D REFLECTIVE WHITE,New with box,US $385.99,,Nike,Athletic,,Nike Kobe Bryant,White,Men,terrell_w_smilez,594.0,100.0
187,188.ADIDAS CRAZY BYW X PHARRELL GRATITUDE AND EMPATHY,New with box,US $300.00,,Nike,Athletic,Athletic Sneakers,Nike Kobe Bryant,Orange,Men,neo122401,1175.0,100.0
188,189.ADIDAS ULTRA BOOST 20 TRIPLE BLACK,New with box,US $325.00,,Nike,Athletic,Athletic Sneakers,,tan,Men,zadehkicks,17708.0,97.7
